Energy fluotot bragg Monitor highharm
2.438500000000000000e+04 6.100364413823714492e-03 1.694376201533050619e+01 8.830620000000000000e+05 5.513343523773100996e-01
2.438500000000000000e+04 5.889512207548120576e-03 1.693572610789345845e+01 8.832650000000000000e+05 5.367486668059965327e-01
2.438600000000000000e+04 6.000077113068150690e-03 1.669013397404902577e+01 8.818220000000000000e+05 5.455889805448637109e-01
2.438600000000000000e+04 6.140380483085264469e-03 1.684888819822156591e+01 8.888700000000000000e+05 5.660987914917215980e-01
2.438700000000000000e+04 6.102448472628144854e-03 1.645670022216299699e+01 8.807940000000000000e+05 5.630184150234164298e-01
2.438700000000000000e+04 6.108872221248814842e-03 1.652631888748057065e+01 8.846150000000000000e+05 5.479804936701151430e-01
2.438800000000000000e+04 6.259818236959848771e-03 1.650029629627732675e+01 8.803770000000000000e+05 5.471178169922507051e-01
2.438800000000000000e+04 6.440152518018178902e-03 1.640160528432983966e+01 8.838300000000000000e+05 5.575114790566738643e-01
2.438900000000000000e+04 6.377662317058666736e-03 1.626177569761249586e+01 8.824550000000000000e+05 5.662110960569292084e-01
2.438900000000000000e+04 6.282252381277141258e-03 1.621023418009867711e+01 8.797800000000000000e+05 5.502693430477061387e-01
2.439000000000000000e+04 6.433706866851612166e-03 1.619916595458089148e+01 8.823840000000000000e+05 5.524904000950359162e-01
2.439000000000000000e+04 6.242139044244238329e-03 1.610650184004702723e+01 8.793460000000000000e+05 5.457562199447517637e-01
2.439100000000000000e+04 6.487067419734208334e-03 1.615887128949704632e+01 8.783630000000000000e+05 5.544773502862393455e-01
2.439100000000000000e+04 6.540196398751160420e-03 1.614512439337185157e+01 8.814720000000000000e+05 5.312679203753354340e-01
2.439200000000000000e+04 6.588753483672861455e-03 1.619278995268906485e+01 8.808950000000000000e+05 5.381680615866311079e-01
2.439200000000000000e+04 6.596871042105189806e-03 1.609395978006083894e+01 8.779920000000000000e+05 5.534978428450633148e-01
2.439300000000000000e+04 6.584251392054875709e-03 1.595056865928045475e+01 8.769410000000000000e+05 5.419798663220911639e-01
2.439300000000000000e+04 6.553259348233039273e-03 1.588434858801463179e+01 8.766630000000000000e+05 5.513659611958132700e-01
2.439400000000000000e+04 6.557219903090980885e-03 1.589922713723271741e+01 8.762860000000000000e+05 5.626168708436605215e-01
2.439400000000000000e+04 6.548919342664349420e-03 1.581712397061221509e+01 8.757170000000000000e+05 5.654901421985435439e-01
2.439500000000000000e+04 6.706367572324567483e-03 1.588180358608277132e+01 8.772260000000000000e+05 5.582257104375381029e-01
