Energy fluotot Monitor
2.462800000000000000e+04 5.728133664240243374e-03 1.453600000000000000e+06
2.463000000000000000e+04 5.858779711581059424e-03 1.458326000000000000e+06
2.463200000000000000e+04 5.764647642718384070e-03 1.455183000000000000e+06
2.463400000000000000e+04 5.799939262775787724e-03 1.450604000000000000e+06
2.463600000000000000e+04 5.827981479309385024e-03 1.450625000000000000e+06
2.463800000000000000e+04 5.933039502832648110e-03 1.449654000000000000e+06
2.464000000000000000e+04 5.834405929185781242e-03 1.451825000000000000e+06
2.464200000000000000e+04 5.706046771683606113e-03 1.448214000000000000e+06
2.464400000000000000e+04 5.779911610267576480e-03 1.456121000000000000e+06
2.464600000000000000e+04 5.712122519966797082e-03 1.450635000000000000e+06
2.464800000000000000e+04 5.633297370114316582e-03 1.447006000000000000e+06
2.465000000000000000e+04 5.689890151869089752e-03 1.454575000000000000e+06
2.465200000000000000e+04 5.806254195152409266e-03 1.445293000000000000e+06
2.465400000000000000e+04 5.706458428497724472e-03 1.447683000000000000e+06
2.465600000000000000e+04 5.716640099806087269e-03 1.446678000000000000e+06
2.465800000000000000e+04 5.751742610802482170e-03 1.449164000000000000e+06
2.466000000000000000e+04 5.759593912790945611e-03 1.444799000000000000e+06
2.466200000000000000e+04 5.842927575954864894e-03 1.449947000000000000e+06
2.466400000000000000e+04 5.773260825458875409e-03 1.443222000000000000e+06
2.466600000000000000e+04 5.819881674342941569e-03 1.446197000000000000e+06
2.466800000000000000e+04 5.918338967093161179e-03 1.445542000000000000e+06
2.467000000000000000e+04 5.724449390731642731e-03 1.444041000000000000e+06
2.467200000000000000e+04 5.812905780203405509e-03 1.443782000000000000e+06
2.467400000000000000e+04 5.841419621563423599e-03 1.443296000000000000e+06
2.467600000000000000e+04 5.849045308284871354e-03 1.441312000000000000e+06
2.467800000000000000e+04 5.890047837256701287e-03 1.441268000000000000e+06
2.468000000000000000e+04 5.888576482877655796e-03 1.443801000000000000e+06
2.468200000000000000e+04 5.975595431457584282e-03 1.439451000000000000e+06
2.468400000000000000e+04 5.895771454430328608e-03 1.439285000000000000e+06
2.468600000000000000e+04 5.875715412344808576e-03 1.436002000000000000e+06
