Energy Monitor Ho_a Ho_g1 Ho_b1 bragg Ho_b2 fluotot
8.165000000000000000e+03 1.323760000000000000e+05 1.426024570703364469e-03 2.158354118991960771e-07 4.316708250956150872e-05 2.166722225679639280e+02 3.142570007631273238e-04 2.272541850486472226e-01
8.166000000000000000e+03 1.332600000000000000e+05 1.387405930404579527e-03 2.144036355854994196e-07 3.773503998627816770e-05 2.174102782511572514e+02 3.125120284701586094e-04 2.244259342638478816e-01
8.167000000000000000e+03 1.320880000000000000e+05 1.414425015357726780e-03 -7.557520052668828241e-16 3.093175977919481920e-05 2.165444313337160338e+02 3.012646656760552743e-04 2.254481860577788044e-01
8.168000000000000000e+03 1.316350000000000000e+05 1.401711442354128517e-03 -8.156596639814288993e-16 3.581331495640000141e-05 2.173105589556365942e+02 2.930680962524522502e-04 2.260568997607053654e-01
8.169000000000000000e+03 1.320380000000000000e+05 1.369951940242310987e-03 -8.802231929489775712e-16 3.894982613230390579e-05 2.161701891500965189e+02 2.866768093094038670e-04 2.226025841045797815e-01
8.170000000000000000e+03 1.323930000000000000e+05 1.413108807004254596e-03 2.158076971266006762e-07 3.086050082492492694e-05 2.167278827514796546e+02 3.079492822768507810e-04 2.253895598709874659e-01
8.171000000000000000e+03 1.310250000000000000e+05 1.406056641317087689e-03 -1.024763562468144673e-15 3.336331670619020951e-05 2.187953686657279775e+02 3.059971099920596950e-04 2.252241938561380663e-01
8.172000000000000000e+03 1.394020000000000000e+05 1.386944643138958953e-03 -1.105530827131083763e-15 3.504766277179872458e-05 2.189848982184168165e+02 3.077341316891327345e-04 2.255634782858228771e-01
8.173000000000000000e+03 1.359090000000000000e+05 1.393579527477944828e-03 -1.192539215773044038e-15 3.132348010170670643e-05 2.167758861428472130e+02 3.215993935165850355e-04 2.272770751017220425e-01
8.174000000000000000e+03 1.404930000000000000e+05 1.399968071617192994e-03 2.033654943001996867e-07 3.802934767466807880e-05 2.167903659857416585e+02 3.115137462689002157e-04 2.266233904892032136e-01
8.175000000000000000e+03 1.404190000000000000e+05 1.445876778986970651e-03 -1.387202057558645462e-15 4.028758826898680239e-05 2.167179545009779815e+02 3.273737050641453575e-04 2.295059785356657056e-01
